"station","lat","lon","biomIndex2019","diva","maxent","ssa","reconstructed","divaerror","ssauncert","wpresence","averagebio","prediction","predictionMin","predictionMax","discrepancy2019","discrepancy2019abs","discrepancy2019rel"
10,45.08451666,13.23520834,55.29463577,121.4616013,0.406737,61.00281703,"Y",0.554636776,28.23351705,1,79.086049035,79.086049035,0,158.634310327689,-23.791413265,23.791413265,43.0266208171824
22,44.40458333,13.6511,156.398056,111.4410858,0.205755,158.1148955,"Y",0.801594377,0,1,123.63388207,123.63388207,28.0017823687097,219.26598177129,32.76417393,32.76417393,20.9492207051474
23,44.34109166,14.034125,154.4834137,85.81033325,0.104471,148.8739338,"Y",0.812993944,19.66601485,1,108.7611002,108.7611002,12.4514034267223,205.070796973278,45.7223135,45.7223135,29.5969077876481
32,44.04948333,14.49949168,62.45942307,97.76402283,0.0654093,69.48003068,"Y",0.901449621,16.05805824,1,73.845624472,73.845624472,0,175.259432488333,-11.386201402,11.386201402,18.2297575647459
48,44.064675,12.62364168,7.220187187,151.9331512,-9999,14.79451667,"Y",0.134662196,102.5840767,0.4,83.363833935,33.345533574,13.7471970454705,52.9438701025295,-26.125346387,26.125346387,361.837521803297
53,44.56491664,13.55423333,97.09918213,138.7444916,0.330721,95.04726259,"Y",0.822613418,8.248734004,1,103.021427935,103.021427935,6.14363083769901,199.899225032301,-5.922245805,5.922245805,6.09917166662751
58,45.02860833,13.24470833,91.65989685,120.1993256,0.406737,81.8203037,"Y",0.569490731,6.507506835,1,88.98988209,88.98988209,8.38345149578213,169.596312684218,2.67001475999999,2.67001475999999,2.91295850394576
60,44.67757498,13.48625,360.7849426,149.5087433,0.420109,349.9517514,"Y",0.785529792,20.61277046,1,234.77937302,234.77937302,140.110394607452,329.448351432548,126.00556958,126.00556958,34.9253959081384
62,44.44135,12.72975833,9.297812462,87.40228271,0.591038,9.816096465,"Y",0.111693934,6.903126915,1,48.6091895875,48.6091895875,3.98697020660973,93.2314089683903,-39.3113771255,39.3113771255,422.802431068221
68,42.89868336,13.97731667,31.83133698,24.14681625,-9999,34.8070402,"Y",0.317214757,21.8961471,0.4,27.0622466,10.82489864,0,34.8886340069323,21.00643834,21.00643834,65.9929501333814
