"station","lat","lon","biomIndex2019","diva","maxent","ssa","reconstructed","divaerror","ssauncert","wpresence","averagebio","prediction","predictionMin","predictionMax","discrepancy2019","discrepancy2019abs","discrepancy2019rel"
10,45.08451666,13.23520834,23.38126564,16.42247581,0.608551,26.49510273,"Y",0.242817059,6.7604286,1,19.816541689,19.816541689,13.1481495471783,26.4849338308217,3.564723951,3.564723951,15.2460692499963
22,44.40458333,13.6511,19.14631844,10.45105362,0.114405,13.12294134,"Y",0.301817238,0,1,10.741892118,10.741892118,3.3073615069785,18.1764227290215,8.404426322,8.404426322,43.8957826191885
23,44.34109166,14.034125,7.111488819,9.766657829,0.0582197,6.741859273,"Y",0.344165713,3.914838331,1,7.2775927681,7.2775927681,0,15.2165842292507,-0.1661039491,0.1661039491,2.33571272243605
32,44.04948333,14.49949168,9.133733749,7.42921257,0.0263362,9.351525531,"Y",0.408785492,5.135515425,0.4,7.6474477935,3.0589791174,0,6.51988080064581,6.0747546316,6.0747546316,66.5089961951769
48,44.064675,12.62364168,0,1.436427236,-9999,0,"Y",0.059976872,0,0.4,0.8618563416,0.34474253664,0,2.33323839214518,-0.34474253664,0.34474253664,NA
53,44.56491664,13.55423333,38.67556,12.43665791,0.194535,40.4845106,"Y",0.294737786,6.448138228,1,25.216918464,25.216918464,17.8700977435759,32.5637391844241,13.458641536,13.458641536,34.7988278282202
58,45.02860833,13.24470833,8.513385773,15.20857048,0.608551,7.398830671,"Y",0.242175579,3.282260269,1,9.7828435275,9.7828435275,3.12326557101639,16.4424214839836,-1.2694577545,1.2694577545,14.9113148205507
60,44.67757498,13.48625,121.3896027,13.2886343,0.268241,115.9547538,"Y",0.282479465,37.04306802,1,63.29283062,63.29283062,56.1004117008001,70.4852495392,58.09677208,58.09677208,47.8597596398592
62,44.44135,12.72975833,0,4.880382538,0.384974,0,"Y",0.130101129,0,1,2.440191269,2.440191269,0,8.54162753922959,-2.440191269,2.440191269,NA
68,42.89868336,13.97731667,0,0.313002914,-9999,0,"Y",0.243464261,0,0.4,0.1252011656,0.05008046624,0,2.72098972966969,-0.05008046624,0.05008046624,NA
