"station","lat","lon","biomIndex2019","diva","maxent","ssa","reconstructed","divaerror","ssauncert","wpresence","averagebio","prediction","predictionMin","predictionMax","discrepancy2019","discrepancy2019abs","discrepancy2019rel"
10,45.08451666,13.23520834,0.546930134,18.85979652,0.289901,0.838276815,"Y",0.100548409,8.5792977,1,9.8490366675,9.8490366675,0,25.1992825337873,-9.3021065335,9.3021065335,1700.78515613477
22,44.40458333,13.6511,0,0,0.105217,0,"Y",0.18213658,0,1,0,0,0,16.5278480026056,0,0,0
23,44.34109166,14.034125,0,0,0.0739952,0,"Y",0.230850011,0,1,0,0,0,18.6072705044756,0,0,0
32,44.04948333,14.49949168,0.793048739,0,0.0411299,0.710368296,"Y",0.319566846,0.972641758,1,0.355184148,0.355184148,0,22.2478465309647,0.437864591,0.437864591,55.2128222979244
48,44.064675,12.62364168,0,64.62005615,-9999,2.14e-17,"Y",0.009254289,0,0.4,38.77203369,15.508813476,13.2734893743409,17.7441375776591,-15.508813476,15.508813476,NA
53,44.56491664,13.55423333,1.586408973,0,0.125761,0,"Y",0.182509691,0,1,0,0,0,16.5447681812941,1.586408973,1.586408973,100
58,45.02860833,13.24470833,0.751971006,18.99433708,0.289901,0.824732077,"Y",0.10299354,0,1,9.9095345785,9.9095345785,0,25.4453025819493,-9.1575635725,9.1575635725,1217.80806699082
60,44.67757498,13.48625,0,0,0.114392,0,"Y",0.166280642,0,1,0,0,0,15.7920520877015,0,0,0
62,44.44135,12.72975833,106.1317978,77.86561584,0.546207,76.27559077,"Y",0.020109441,27.28475083,1,84.857164889,84.857164889,76.6194078354558,93.0949219425442,21.274632911,21.274632911,20.0454843430533
68,42.89868336,13.97731667,6.672547817,20.43923187,-9999,5.907596818,"Y",0.1,0.902845425,0.4,13.173414344,5.2693657376,0,11.3926965925372,1.4031820794,1.4031820794,21.0291798258086
