"station","lat","lon","biomIndex2019","diva","maxent","ssa","reconstructed","divaerror","ssauncert","wpresence","averagebio","prediction","predictionMin","predictionMax","discrepancy2019","discrepancy2019abs","discrepancy2019rel"
10,45.08451666,13.23520834,55.29463577,87.52594757,0.285032,29.23366005,"Y",0.528618574,29.23366005,1,49.627209053,49.627209053,0,125.282529892562,5.667426717,5.667426717,10.2495054684398
22,44.40458333,13.6511,156.398056,103.3739166,0.201096,100.4901052,"Y",0.79530412,100.4901052,1,91.59461924,91.59461924,0,184.391821760491,64.80343676,64.80343676,41.4349375033152
23,44.34109166,14.034125,154.4834137,75.94564056,0.17334,108.672188,"Y",0.799508512,108.672188,1,84.714350224,84.714350224,0,177.756516603506,69.769063476,69.769063476,45.1628183278552
32,44.04948333,14.49949168,62.45942307,83.73730469,0.103046,58.37896355,"Y",0.888671458,9.142198606,1,62.684403651,62.684403651,0,160.777599489268,-0.224980580999997,0.224980580999997,0.360202784370671
48,44.064675,12.62364168,7.220187187,59.59217453,-9999,6.058101009,"Y",0.136648312,9.982455815,0.4,32.8251377695,13.1300551078,0,32.3627617768762,-5.9098679208,5.9098679208,81.8520042172973
53,44.56491664,13.55423333,97.09918213,118.0334396,0.328412,109.1012135,"Y",0.801761806,109.1012135,1,101.76398259,101.76398259,8.59079581344515,194.937169366555,-4.66480046,4.66480046,4.80416040348783
58,45.02860833,13.24470833,91.65989685,87.76869965,0.285032,106.0758942,"Y",0.519342065,62.59093353,1,88.14542696,88.14542696,13.1568662292248,163.133987690775,3.51446988999999,3.51446988999999,3.83425032187344
60,44.67757498,13.48625,360.7849426,119.47686,0.527322,189.9303763,"Y",0.746764839,14.85052399,1,142.75593215,142.75593215,52.8351245822675,232.676739717733,218.02901045,218.02901045,60.4318486461137
62,44.44135,12.72975833,9.297812462,90.77934265,0.578597,11.84511499,"Y",0.116416045,11.84511499,1,51.31222882,51.31222882,6.93249414849693,95.6919634915031,-42.014416358,42.014416358,451.874207290287
68,42.89868336,13.97731667,31.83133698,28.06562805,-9999,99.24383413,"Y",0.32175228,124.5126518,0.4,60.848168285,24.339267314,0.729643034184929,47.9488915938151,7.492069666,7.492069666,23.5367734340136
