"station","lat","lon","biomIndex2019","diva","maxent","ssa","reconstructed","divaerror","ssauncert","wpresence","averagebio","prediction","predictionMin","predictionMax","discrepancy2019","discrepancy2019abs","discrepancy2019rel"
10,45.08451666,13.23520834,86.63373566,62.05703354,0.264368,97.884851,"Y",0.123489887,1.011760047,1,79.97094227,79.97094227,68.0237274237557,91.9181571162443,6.66279339,6.66279339,7.69076080956337
22,44.40458333,13.6511,7.385007858,55.62017059,0.0522871,1.743399547,"Y",0.179755598,0.618696687,1,23.1197680095,23.1197680095,11.588364319447,34.651171699553,-15.7347601515,15.7347601515,213.063553269682
23,44.34109166,14.034125,33.47870255,45.27037811,0.0493933,33.11404419,"Y",0.225802392,0,1,34.665173339,34.665173339,21.7409268217977,47.5894198562023,-1.186470789,1.186470789,3.54395689984708
32,44.04948333,14.49949168,13.83733273,38.61825943,0.0262977,1.289178335,"Y",0.341307789,0,1,16.0918929395,16.0918929395,0.202252722192038,31.981533156808,-2.2545602095,2.2545602095,16.2933150014671
48,44.064675,12.62364168,0,0,-9999,0,"Y",0.01816259,0,0.4,0,0,0,2.19928293348575,0,0,0
53,44.56491664,13.55423333,62.19818115,64.19486237,0.0240511,63.36411707,"Y",0.182359412,0,1,57.360003483,57.360003483,45.7453821391468,68.9746248268532,4.838177667,4.838177667,7.77864814942423
58,45.02860833,13.24470833,72.96804047,60.67001724,0.264368,65.01676791,"Y",0.1260041,73.50017194,1,62.843392575,62.843392575,50.7751698861119,74.9116152638881,10.124647895,10.124647895,13.875455377156
60,44.67757498,13.48625,72.40406799,66.82048035,0.0665026,72.99767242,"Y",0.171793222,29.26295424,1,63.22702835,63.22702835,51.9539123333376,74.5001443666624,9.17703964,9.17703964,12.67475695049
62,44.44135,12.72975833,16.13444138,13.1689558,0.593594,16.03503257,"Y",0.050505694,23.5600674,1,15.918889765,15.918889765,6.75030309565277,25.0874764343472,0.215551614999999,0.215551614999999,1.33597197401079
68,42.89868336,13.97731667,0,22.07574463,-9999,0,"Y",0,0,0.4,0,0,0,4.415148926,0,0,0
