"station","lat","lon","biomIndex2019","diva","maxent","ssa","reconstructed","divaerror","ssauncert","wpresence","averagebio","prediction","predictionMin","predictionMax","discrepancy2019","discrepancy2019abs","discrepancy2019rel"
10,45.08451666,13.23520834,23.38126564,56.96573257,0.589851,25.70953962,"Y",0.194417164,0,1,35.641062838,35.641062838,5.0015932964307,66.2805323795693,-12.259797198,12.259797198,52.4342753158165
22,44.40458333,13.6511,19.14631844,50.46370697,0.46677,9.989141085,"Y",0.257864982,7.383753984,1,25.1800533305,25.1800533305,0,60.4666785485084,-6.0337348905,6.0337348905,31.513812482584
23,44.34109166,14.034125,7.111488819,47.79384613,0.393673,7.297911809,"Y",0.302267253,0.433414761,1,22.7664943565,22.7664943565,0,60.9705518405338,-15.6550055375,15.6550055375,220.136822765917
32,44.04948333,14.49949168,9.133733749,36.31835938,0.239548,10.26066006,"Y",0.378737122,9.05695327,1,19.657673782,19.657673782,0,62.4221224756623,-10.523940033,10.523940033,115.220569399149
48,44.064675,12.62364168,0,7.094572544,-9999,0,"Y",0.078116059,0,0.4,4.2567435264,1.70269741056,0,13.3556331904961,-1.70269741056,1.70269741056,NA
53,44.56491664,13.55423333,38.67556,57.55263138,0.5889,42.41393831,"Y",0.244924396,0,1,44.228021707,44.228021707,9.83819692034506,78.6178464936549,-5.552461707,5.552461707,14.3565127615476
58,45.02860833,13.24470833,8.513385773,55.62282562,0.589851,8.496265705,"Y",0.194895193,5.382725955,1,26.4972631005,26.4972631005,0,57.1743773709921,-17.9838773275,17.9838773275,211.242363579194
60,44.67757498,13.48625,121.3896027,59.05779648,0.647081,134.2557587,"Y",0.231655076,81.88611053,1,90.750997942,90.750997942,57.3057168228699,124.19627906113,30.638604758,30.638604758,25.2398921130994
62,44.44135,12.72975833,0,19.36617088,0.257203,0,"Y",0.119427733,0,1,9.68308544,9.68308544,0,39.7007256275155,-9.68308544,9.68308544,NA
68,42.89868336,13.97731667,0,3.94694972,-9999,0,"Y",0.244412616,0,0.4,1.578779888,0.6315119552,0,14.3730625524595,-0.6315119552,0.6315119552,NA
