"station","lat","lon","biomIndex2019","diva","maxent","ssa","reconstructed","divaerror","ssauncert","wpresence","averagebio","prediction","predictionMin","predictionMax","discrepancy2019","discrepancy2019abs","discrepancy2019rel"
10,45.08451666,13.23520834,0.546930134,2.283628941,0.197292,0,"Y",0.00455638,0,1,1.3701773646,1.3701773646,0,10.9599556500374,-0.8232472306,0.8232472306,150.521461412108
22,44.40458333,13.6511,0,0,0.0105706,0,"Y",0.010806983,0,0.4,0,0,0,5.90759648595438,0,0,0
23,44.34109166,14.034125,0,0.112496361,0.0157765,0,"Y",0.005107967,0,0.4,0.0674978166,0.02699912664,0,4.08846333865168,-0.02699912664,0.02699912664,NA
32,44.04948333,14.49949168,0.793048739,0,0.0160709,0,"Y",0.002945655,0,1,0,0,0,7.71062421932186,0.793048739,0.793048739,100
48,44.064675,12.62364168,0,18.64245415,-9999,0,"Y",0.00401139,0,0.4,11.18547249,4.474188996,0.874988557281347,8.07338943471865,-4.474188996,4.474188996,NA
53,44.56491664,13.55423333,1.586408973,0.279584557,0.011067,0,"Y",0.030772813,0,0.4,0.1677507342,0.06710029368,0,10.0358843450172,1.51930867932,1.51930867932,95.7703029406655
58,45.02860833,13.24470833,0.751971006,2.250517845,0.197292,0,"Y",0.01,0,1,1.350310707,1.350310707,0,15.5571869728616,-0.598339701,0.598339701,79.5695174715287
60,44.67757498,13.48625,0,0,0.010763,0,"Y",0.027335454,0,0.4,0,0,0,9.39553976495574,0,0,0
62,44.44135,12.72975833,106.1317978,70.58830261,0.521469,96.23397733,"Y",0.005181714,94.17922431,1,90.469970231,90.469970231,80.2432749098775,100.696665552123,15.661827569,15.661827569,14.7569605845309
68,42.89868336,13.97731667,6.672547817,11.21454525,-9999,7.278491083,"Y",0.003727309,2.481430396,0.4,10.3679726915,4.1471890766,0.677773785046156,7.61660436815384,2.5253587404,2.5253587404,37.8469935272103
